#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
385480:10099,09/10/24 06:27:18,6,6,0.002830347,0.000154913
385481:10099,09/10/24 06:33:02,104,104,0.049101868,0.044587971
385483:10099,09/10/24 07:19:45,22,22,0.010415418,0.009101075
385484:10099,09/10/24 07:31:07,19,19,0.008937838,0.007831889
385511:10100,09/10/24 12:07:41,104,104,0.039375273,0.036618975
385512:10100,09/10/24 12:50:54,23,23,0.010876717,0.009213152
385513:10100,09/10/24 13:03:21,20,20,0.009449110,0.008170807
385514:10100,09/10/24 13:14:48,26,26,0.012370642,0.010305128
385515:10100,09/10/24 13:30:08,1639,1639,0.733475392,0.682576459
385567:10104,09/11/24 12:50:43,294,294,0.110695583,0.103255841
385568:10104,09/11/24 14:48:38,256,256,0.120329135,0.112736010
385589:10105,09/11/24 22:31:01,210,210,0.090243918,0.084658441
385591:10105,09/11/24 23:58:17,19,18,0.008944562,0.004839333
385592:10105,09/12/24 00:06:54,22,22,0.010388121,0.005437117
385604:10105,09/12/24 01:44:45,1092,1092,0.503948625,0.474411797
385606:10105,09/12/24 08:53:24,643,643,0.214662818,0.206275476
385618:10107,09/12/24 15:36:37,159,157,0.067389986,0.060904021
385619:10107,09/12/24 16:43:37,98,98,0.046403078,0.042138604
385620:10107,09/12/24 17:24:53,1782,1782,0.774317504,0.732084400
385697:10109,09/13/24 16:26:05,31,31,0.006369843,0.005924434
385712:10112,09/13/24 22:09:19,478,478,0.214713049,0.201450535
385713:10112,09/14/24 01:23:03,612,612,0.289158668,0.271404388
385727:10115,09/14/24 07:48:40,512,512,0.236440859,0.221810699
